Wall time,Step,Value
1680120432.0874047,0,0.0006000000284984708
1680120479.6476958,10,0.0007200000109151006
1680120526.2265007,20,0.0007200000109151006
1680120572.3586917,30,0.0006000000284984708
1680120615.8463898,40,0.0012441599974408746
1680120657.7145388,50,0.0007200000109151006
1680120700.4555225,60,0.0007200000109151006
1680120743.1462557,70,0.002579890191555023
1680120785.413328,80,0.0037150417920202017
1680120827.720734,90,0.009999999776482582
1680120870.0193264,100,0.004822530783712864
1680120912.3197467,110,0.0019380670273676515
1680120954.4110727,120,0.00334897986613214
1680120995.885057,130,0.00134587986394763
1680121041.0742438,140,0.004018775653094053
1680121088.536744,150,0.009999999776482582
1680121135.8774173,160,0.004822530783712864
1680121183.1292062,170,0.00334897986613214
1680121231.4156294,180,0.009999999776482582
1680121278.196926,190,0.004822530783712864
1680121336.6066258,200,0.005787036847323179
1680121382.9333584,210,0.0069444444961845875
1680121429.7277517,220,0.001615055836737156
1680121476.8127117,230,0.00334897986613214
1680121522.8565032,240,0.0009346387814730406
1680121569.5559871,250,0.0011215665144845843
1680121615.341629,260,0.00045073244837112725
1680121661.0103214,270,0.0007788656512275338
1680121706.9222453,280,0.0007788656512275338
1680121753.1574368,290,0.0005408789147622883
1680121799.8492928,300,0.0005408789147622883
1680121844.781289,310,0.00015094938862603158
1680121890.4976351,320,0.00010482595826033503
1680121936.6416817,330,0.0006490547093562782
1680121980.7718906,340,0.00037561036879196763
1680122023.4563732,350,0.0002608405193313956
1680122066.380299,360,0.00018113925762008876
1680122111.5570388,370,0.000313008640659973
1680122156.6158736,380,5.055264409747906e-05
1680122201.177486,390,0.0003833759983535856
1680122256.3710992,400,0.0001848842657636851
1680122300.0526052,410,8.916100341593847e-05
1680122344.3780673,420,0.0003833759983535856
1680122388.362918,430,0.0001848842657636851
1680122430.809367,440,0.0001540702214697376
1680122473.5273793,450,0.0002218611043645069
1680122516.494155,460,8.916100341593847e-05
1680122559.5473514,470,0.00026623334269970655
1680122602.2841425,480,0.0001848842657636851
1680122644.9717338,490,7.430083496728912e-05
1680122689.5319703,500,8.916100341593847e-05
1680122733.6249511,510,0.0002218611043645069
1680122778.381882,520,0.0002218611043645069
1680122820.8180108,530,2.073600080620963e-05
1680122863.3358946,540,0.0001848842657636851
1680122905.6610794,550,2.9859840651624836e-05
1680122948.9490666,560,0.0001848842657636851
1680122991.7189462,570,0.0002218611043645069
1680123034.790368,580,0.0001848842657636851
1680123077.2784414,590,0.0002218611043645069
1680123131.803957,600,0.0001848842657636851
1680123175.2014701,610,0.0001848842657636851
1680123219.066894,620,0.0001540702214697376
1680123262.7887936,630,0.00010699320409912616
