Wall time,Step,Value
1680120432.0874047,0,0.9962188005447388
1680120479.6476958,10,0.8966802954673767
1680120526.2265007,20,0.8196370601654053
1680120572.3576918,30,0.7845081090927124
1680120615.8463898,40,0.7657801508903503
1680120657.7145388,50,0.7565394639968872
1680120700.4555225,60,0.7448726892471313
1680120743.1462557,70,0.7343852519989014
1680120785.413328,80,0.7254769802093506
1680120827.720734,90,0.7125798463821411
1680120870.0193264,100,0.7038235664367676
1680120912.3197467,110,0.6923435926437378
1680120954.4110727,120,0.6872704029083252
1680120995.885057,130,0.6794028282165527
1680121041.0742438,140,0.6703685522079468
1680121088.536744,150,0.6626872420310974
1680121135.8774173,160,0.6577233076095581
1680121183.1292062,170,0.6511855721473694
1680121231.4156294,180,0.6476272940635681
1680121278.196926,190,0.6442035436630249
1680121336.6066258,200,0.6365389823913574
1680121382.9333584,210,0.6270313858985901
1680121429.7277517,220,0.6201014518737793
1680121476.8127117,230,0.6127328872680664
1680121522.8565032,240,0.6052349805831909
1680121569.5559871,250,0.5987743139266968
1680121615.341629,260,0.5906928777694702
1680121661.0103214,270,0.5803707838058472
1680121706.9222453,280,0.5689725875854492
1680121753.1574368,290,0.5583181381225586
1680121799.8492928,300,0.5465487241744995
1680121844.781289,310,0.537893533706665
1680121890.4976351,320,0.5293424129486084
1680121936.6416817,330,0.5190967917442322
1680121980.7718906,340,0.5075900554656982
1680122023.4553733,350,0.49522361159324646
1680122066.380299,360,0.4848848581314087
1680122111.5570388,370,0.472377747297287
1680122156.6158736,380,0.46173033118247986
1680122201.177486,390,0.45593687891960144
1680122256.3710992,400,0.4477408826351166
1680122300.0526052,410,0.43835410475730896
1680122344.3780673,420,0.4325856864452362
1680122388.362918,430,0.42171287536621094
1680122430.809367,440,0.41171741485595703
1680122473.5273793,450,0.4038484990596771
1680122516.494155,460,0.3944627642631531
1680122559.5473514,470,0.38570040464401245
1680122602.2841425,480,0.3756422698497772
1680122644.9717338,490,0.36730021238327026
1680122689.5319703,500,0.3573794364929199
1680122733.6249511,510,0.34824156761169434
1680122778.381882,520,0.33999380469322205
1680122820.8180108,530,0.3329703211784363
1680122863.3358946,540,0.3256899118423462
1680122905.6610794,550,0.31932640075683594
1680122948.9490666,560,0.31169894337654114
1680122991.7189462,570,0.3046809136867523
1680123034.790368,580,0.2992796301841736
1680123077.2784414,590,0.2938231825828552
1680123131.803957,600,0.28921836614608765
1680123175.2004733,610,0.28287065029144287
1680123219.066894,620,0.277677059173584
1680123262.7887936,630,0.2718731760978699
